word,pos,definition
maggantihan,,"(naggagantihan, naggantihan, maggagantihan) v., inf. mutually retaliate"
maggantsilyo,,"(naggagantsilyo, naggantsilyo, maggagantsilyo) v., inf. crochet; hackle"
maggapang,,"maggapang (naggagapang, naggapang, maggagapang) v., inf. worm; crawl or creep like a worm"
maggapos,,"(naggagapos, naggapos, maggagapos) v., inf. 1. bind; manacle; 2. pinion; 3. chain"
maggargol,,"(naggagargol, naggargol, maggagargol) v., inf. gargle"
maggarison,,"maggarison (naggagarison, naggarison, maggagarison) v., inf. garrison; occupy a fort, town, etc."
maggatgat,,"maggatgat (naggagatgat, naggatgat, maggagatgat) v., inf. indent; make notches on the edge of something"
maggatla,,"maggatla (naggagatla, naggatla, maggagatla) v., inf. make a mark with a sharp instrument"
maggatong,,"(naggagatong, naggatong, maggagatong) v., inf. 1. feed a fire; put fuel/fire wood onto; 2. stimulate; excite more activity [fig.]"
maggawa,,"maggawa (naggagawa, naggawa, maggagawa) v., inf. make; manufacture"
maggawad,,"(naggagawad, naggawad, maggagawad) v., inf. confer; bestow; award; impose"
maggayak,,"maggayak (naggagayak, naggayak, maggagayak) v., inf. 1. dress up; 2. decorate"
maggayat,,"maggayat (naggagayat, naggayat, maggagayat) v., inf. slice a large quantity or for a long time"
maggiba,,"maggiba (naggigiba, naggiba, maggigiba) v., inf. destroy; demolish"
maggiik,,"maggiik (naggigiik, naggiik, maggigiik) v., inf. thresh grain stalks"
maggiit,,"maggiit (naggigiit, naggiit, maggigiit) v., inf. affirm; assert strongly"
maggiit,,"maggiit (naggigiit, naggiit, maggigiit) v., inf. affirm; assert strongly"
maggiliwan,,"maggiliwan (naggigiliwan, naggiliwan, maggigiliwan) v., inf. express fondness for each other"
maggitara,,"(naggigitara, naggitara, maggigitara) v., inf. (be able to) play the gitar"
maggitgitan,,"(naggigitgitan, naggitgitan, maggigitgitan) v., inf. 1. huddle together; 2. edge one's way; jostle"
maggitling,,"maggitling (naggigitling, naggitling, maggigitling) v., inf. hyphenate"
maggolp,,"maggolp (naggogolp, naggolp, maggogolp) v., inf. play golf"
maggrasa,,"(naggagrasa, naggrasa, maggagrasa) v., inf. grease; put grease on"
maggraun,,"(naggagraun, naggraun, maggagraun) v., inf. connect an electric wire with the ground"
maggugo,,"maggugo (naggugugo, naggugo, maggugugo) v., inf. shampoo one's hair"
maggugulay,,maggugulay n. vegetable vendor
magguhit,,"(nagguguhit, nagguhit, magguguhit) v., inf. streak; draw lines"
maggulay,,"(naggugulay, naggulay, maggugulay) v., inf. cook, eat, or sell vegetables"
maggupit,,"maggupit (naggugupit, naggupit, maggugupit) v., inf. cut with scissors"
magguwarnisyon,,"magguwarnisyon (nagguguwarnisyon, nagguwarnisyon, magguguwarnisyon) v., inf. harness; put harness on a horse"
magha-maghapon,,magha-maghapon adv. the whole day every day
maghabi,,"(naghahabi, naghabi, maghahabi) v., inf. weave; form threads"
maghabilin,,"(naghahabilin, naghabilin, maghahabilin) v., inf. commend; entrust; commit to the care"
maghabla,,"maghabla (naghahabla, naghabla, maghahabla) v., inf. make an accusation in court"
maghabol,,"(naghahabol, naghabol, maghahabol) v., inf. appeal against; protest; bring a claim to court"
maghabol ng hininga,,"maghabol ng hininga (naghahabol, naghabol, maghahabol (ng hininga)) v., inf. lose the breath; pant"
maghabong,,"(naghahabong, naghabong, maghahabong) v., inf. use or build a temporary shed"
maghadlang,,"maghadlang (naghahadlang, naghadlang, maghahadlang) v., inf. 1. obstruct; 2. prevent; 3. hamper; 4. barricade; 5. counteract"
maghagikgik,,"maghagikgik (naghahagikgik, naghagikgik, maghahagikgik) v., inf. snicker; giggle"
maghagikgikan,,"maghagikgikan (naghahagikgikan, naghagikgikan, maghahagikgikan) v., inf. snicker; snigger (more than one person)"
maghagilap,,"(naghahagilap, naghagilap, maghahagilap) v., inf. grope; search blindly and uncertainly"
maghagis,,"(naghahagis, naghagis, maghahagis) v., inf. cast; throw; fling; heave; pitch; hurl; toss"
maghagulhulan,,"maghagulhulan (naghahagulhulan, naghagulhulan, maghahagulhulan) v., inf. weep aloud at the same time [plural]"
maghahalaman,,maghahalaman n. horticulturist; gardener; orchard caretaker
maghahasik,,maghahasik n. sower
maghahatsing,,"maghahatsing (naghahahatsing, naghahatsing, maghahahatsing) v., inf. sneeze continuosly"
maghahawig,,adj. similar; like
maghain,,"(naghahain, naghain, maghahain) v., inf. offer; sacrifice"
maghain,,"(naghahain, naghain, maghahain) v., inf. set the table"
maghalaga,,"maghalaga (naghahalaga, naghalaga, maghahalaga) v., inf. evaluate; find the value; rate; quote a price; value"
maghalal,,"maghalal (naghahalal, naghalal, maghahalal) v., inf. vote for; elect"
maghalalan,,"maghalalan (naghahalalan, naghalalan, maghahalalan) v., inf. hold an election"
maghalaman,,"(naghahalaman, naghalaman, maghahalaman) v., inf. take care of a garden"
maghalang,,"(naghahalang, naghalang, maghahalang) v., inf. put or place some barricade, etc."
maghalea,,"maghalea (naghahalea, naghalea, maghahalea) v., inf. make jelly; deal in jelly"
maghali-halili,,"maghali-halili (naghahali-halili, naghali-halili, maghahali-halili) v., inf. alternate; take turns (more than two)"
maghalikan,,"maghalikan (naghahalikan, naghalikan, maghahalikan) v., inf. kiss each other"
maghalikwat,,"maghalikwat (naghahalikwat, naghalikwat, maghahalikwat) v., inf. raise or lift something with a lever, etc."
maghalikwat,,"maghalikwat (naghahalikwat, naghalikwat, maghahalikwat) v., inf. turn things upside down in searh for something"
maghalili,,"maghalili (naghahalili, naghalili, maghahalili) v., inf. alternate; take turns (two persons)"
maghalinhinan,,"maghalinhinan (naghahalinhinan, naghalinhinan, maghahalinhinan) v., inf. alternate with others; succeed others"
maghalo,,"maghalo (naghahalo, naghalo, maghahalo) v., inf. mix; blend; intermix"
maghalughog,,"maghalughog (naghahalughog, naghalughog, maghahalughog) v., inf. ransack; search closely or minutely"
maghalukay,,"(naghahalukay, naghalukay, maghahalukay) v., inf. dig up, etc. (in search for something)"
maghalukipkip,,"maghalukipkip (naghahalukipkip, naghalukipkip, maghahalukipkip) v., inf. 1. fold the arms; 2. be indifferent to; let pass"
maghambing,,"maghambing (naghahambing, naghambing, maghahambing) v., inf. contrast; compare"
maghambog,,"maghambog (naghahambog, nahambog, maghahambog) v., inf. boast; vaunt; brag"
maghamok,,"(naghahamok, naghamok, maghahamok) v., inf. fight each other hand-to-hand"
maghampasan,,"(naghahampasan, naghampasan, maghahampasan) v., inf. hit each other with sticks or the like"
maghanap,,"maghanap (naghahanap, naghanap, maghahanap) v., inf. search; pursue; prospect; scout"
maghanapbuhay,,"(naghahanapbuhay, naghanapbuhay, maghahanapbuhay) v., inf. work for a living; engage in some business"
maghanay,,"(naghahanay, naghanay, maghahanay) v., inf. rank; arrange in a row or line"
maghanda,,"maghanda (naghahanda, naghanda, maghahanda) v., inf. 1. arrange; 2. prepare; 3. hold a feast; 4. stage"
maghandog,,"maghandog (naghahandog, naghandog, maghahandog) v., inf. 1. give; hand over as a present; 2. present"
maghangad,,"maghangad (naghahangad, naghangad, maghahangad) v., inf. desire; aspire; mean; seek; woo"
maghantad,,"maghantad (naghahantad, naghantad, maghahantad) v., inf. predispose; expose to"
maghapon,,"n., adv. from sunrise to sunset; whole day long"
maghapunan,,"(naghahapunan, naghapunan, maghahapunan) v., inf. take dinner (evening meal)"
magharang,,"(naghaharang, nagharang, maghaharang) v., inf. block the way"
magharap,,"magharap (naghaharap, nagharap, maghaharap) v., inf. introduce; propound; propose; present formally"
maghari,,"maghari (naghahari, naghari, maghahari) v., inf. reign; be dominant; possess; lord it over"
magharin,,"(naghaharina, nagharina, maghaharina) v., inf. make flour; grind into flour"
magharina,,"(naghaharina, nagharina, maghaharina) v., inf. make flour; grind into flour"
maghasa,,"maghasa (naghahasa, naghasa, maghahasa) v., inf. hone; grind; sharpen"
maghasik,,"maghasik (naghahasik, naghasik, maghahasik) v., inf. 1. sow (seeds, etc.); 2. sow principles, ideas, doctrines, etc. [fig.]"
maghati,,"maghati (naghahati, naghati, maghahati) v., inf. 1. divide in half; 2. divide into more than two parts"
maghati-hati,,"maghati-hati (naghahati-hati, naghati-hati, maghahati-hati) v., inf. distribute; divide among many"
maghatid,,"maghatid (naghahatid, naghatid, maghahatid) v., inf. bring; escort; relay; convey"
maghaula,,"(naghahaula, naghaula, maghahaula) v., inf. cage; put or keep in a cage"
maghawak,,"(naghahawak, naghawak, maghahawak) v., inf. occupy; hold, e.g. a certain responsibility; wield; manage; control"
maghawan,,"(naghahawan, naghawan, maghahawan) v., inf. 1. clear away underbush (US: undergrowth), etc.; 2. disperse people, etc."
maghawi,,"maghawi (naghahawi, naghawi, maghahawi) v., inf. 1. push away branches, etc, to make a passage; 3. part the hair, etc.; maghawla"
maghayag,,"maghayag (naghahayag, naghayag, maghahayag) v., inf. disclose; divulge; publish"
maghayin,,"(naghahayin, naghayin, maghahayin) v., inf. set the table; set food on the table"
maghayop,,"(naghahayop, naghayop, maghahayop) v., inf. take care of domestic animals"
maghayuma,,"(naghahayuma, naghayuma, maghahayuma) v., inf. mend fishing nets, thatch roofs, etc."
maghayup-hayupan,,"maghayup-hayupan (naghahayup-hayupan, naghayup-hayupan, maghahayup-hayupan) v., inf. act like an animal"
maghayupan,,"(naghahayupan, naghayupan, maghahayupan) v., inf. 1. take care of animals as an occupation; 2. raise animals"
maghele,,"(naghehele, naghele, maghehele) v., inf. lull; hush to sleep"
maghero,,"(naghehero, naghero, maghehero) v., inf. put a brand on cattle"
maghersisyo,,"(naghehersisyo, naghersisyo, maghehersisyo) v., inf. give exercise to; train"
maghibilya,,"(naghihibilya, naghibilya, maghihibilya) v., inf. buckle; fasten a belt"
maghibla,,"maghibla (naghihibla, naghibla, maghihibla) v., inf. thread (a needle)"
maghigab,,"maghigab (naghihigab, naghigab, maghihigab) v., inf. gape; open the mouth wide as in yawning"
maghiganti,,"maghiganti (naghihiganti, naghiganti, maghihiganti) v., inf. revenge; take revenge; retaliate"
maghigpit,,"maghigpit (naghihigpit, naghigpit, maghihigpit) v., inf. tighten; make tight"
maghihiga,,"maghihiga (naghihihiga, naghihiga, maghihihiga) v., inf. lie down often"
maghihikab,,"maghihikab (naghihihikab, naghihikab, maghihihikab) v., inf. yawn much or repaeatedly"
maghihikbi,,"maghihikbi (naghihihikbi, naghihikbi, maghihihikbi) v., inf. sob repeatedly or continuously"
maghihiyaw,,"maghihiyaw (naghihihiyaw, naghihiyaw, maghihihiyaw) v., inf. yell repeatedly"
maghikaban,,"(naghihikaban, naghikaban, maghihikaban) v., inf. yawn simultaneously with another/others"
maghikahos,,"maghikahos (naghihikahos, naghikahos, maghihikahos) v., inf. become poor, needy or destitute"
maghikaw,,"(naghihikaw, naghikaw, maghihikaw) v., inf. wear earrings"
maghilahod,,"maghilahod (naghihilahod, naghilahod, maghihilahod) v., inf. plod; trudge; walk without lifting the feet"
maghilamos,,"(naghihilamos, naghilamos, maghihilamos) v., inf. wash one's own face"
maghilbana,,"(naghihilbana, naghilbana, maghihilbana) v., inf. baste; tack; sew with temporaty stitches"
maghilik,,"maghilik (naghihilik, naghilik, maghihilik) v., inf. snore"
maghilom,,"(naghihilom, naghilom, maghihilom) v., inf. heal (a wound); knit; grow together"
maghilot,,"(naghihilot, naghilot, maghihilot) v., inf. massage"
maghimagsik,,"maghimagsik (naghihimagsik, naghimagsik, maghihimagsik) v., inf. rise; revolt; mutiny"
maghimala,,"maghimala (naghihimala, naghimala, maghihimala) v., inf. perform a miracle"
maghimalay,,"(naghihimalay, naghimalay, maghihimalay) v., inf. 1. glean; 2. gather stalks of grain left on the field by reapers"
maghimatay,,"maghimatay (naghihimatay, naghimatay, maghihimatay) v., inf. faint; lose consciousness"
maghimaton,,"(naghihimaton, naghimaton, maghihimaton) v., inf. point; show position or direction"
maghimatong,,"(naghihimatong, naghimatong, maghihimatong) v., inf. point; show position or direction"
maghimay,,"(naghihimay, naghimay, maghihimay) v., inf. rest after work; relax after a meal"
maghimay,,"(naghihimay, naghimay, maghihimay) v., inf. shell; husk; peel; remove strings from e.g. beans"
maghimbalangay,,"maghimbalangay (naghihimbalangay, naghimbalangay, maghihimbalangay) v., inf. swim backstroke"
maghimo,,"(naghihimo, naghimo, maghihimo) v., inf. anoint with oil"
maghimulmol,,"maghimulmol (naghihimulmol, naghimulmol, maghihimulmol) v., inf. pluck; pull the feathers off a fowl"
maghimutok,,"maghimutok (nghihimutok, naghimutok, maghihimutok) v., inf. make an outcry because of disappointment; sigh aloud"
maghinala,,"maghinala (naghihinala, naghinala, maghihinala) v., inf. suspect"
maghinanakit,,"maghinanakit (naghihinanakit, naghinanakit, maghihinanakit) v., inf. feel umbrage or resentment"
maghinanakitan,,"maghinanakitan (naghihinanakitan, naghinanakitan, maghihinanakitan) v., inf. quarrel slightly"
maghinang,,"(naghihinang, naghinang, maghihinang) v., inf. 1. weld; 2. solder; 3. tinker; 4. mend pots and pans"
maghinas,,"(naghihinas, naghinas, maghihinas) v., inf. apply ointment, etc."
maghinaw,,"maghinaw (naghihinaw, naghinaw, maghihinaw) v., inf. wash the hands or feet with water"
maghingalo,,"maghingalo (naghihingalo, naghingalo, maghihingalo) v., inf. be in one's agony"
maghingutuhan,,"maghingutuhan (naghihingutuhan, naghingutuhan, maghihingutuhan) v., inf. pick lice from one another's hair"
maghiniksik,,"maghiniksik (naghihiniksik, naghiniksik, maghihiniksik) v., inf. pick out nits and/or lice from hair"
maghininga,,"maghininga (naghihininga, naghininga, maghihininga) v., inf. pick out food particles from the teeth"
maghintay,,"maghintay (naghihintay, naghintay, maghihintay) v., inf. wait; expect; watch"
maghintayan,,"(naghihintayan, naghintayan, maghihintayan) v., inf. wait for each other"
maghinto,,"maghinto (naghihinto, naghinto, maghihinto) v., inf. stop doing something"
maghinuha,,"maghinuha (naghihinuha, naghinuha, maghihinuha) v., inf. deduce; gather; infer; conclude"
maghinuko,,"maghinuko (naghihinuko, naghinuko, maghihinuko) v., inf. cut or pare the nails"
maghinuli,,"maghinuli (naghihinuli, naghinuli, maghihinuli) v., inf. remove wax from one's own ears"
maghipnotismo,,"(naghihipnotismo, naghipnotismo, maghihipnotismo) v., inf. hypnotize; put into a hypnotic state"
maghipon,,"(naghihipon, naghipon, maghihipon) v., inf. have shrimps for a meal"
maghirap,,"(naghihirap, naghirap, maghihirap) v., inf. 1. experience difficulty; be difficult for; 2. experience labour (US: labor) in childbirth"
maghirap sa sakit,,"sakit (naghihirap, naghirap, maghihirap (sa sakit)) v., inf. agonise; agonize; feel very great pain"
maghiso,,"maghiso (naghihiso, naghiso, maghihiso) v., inf. brush the teeth"
maghiwa,,"maghiwa (naghihiwa, naghiwa, maghihiwa) v., inf. cut into slices; make a cut; cut into"
maghiwa-hiwa,,"maghiwa-hiwa (naghihiwa-hiwa, naghiwa-hiwa, maghihiwa-hiwa) v., inf. carve; cut into slices or pieces"
maghiwa-hiwalay,,"maghiwa-hiwalay (naghihiwa-hiwalay, naghiwa-hiwalay, maghihiwa-hiwalay) v., inf. disperse; separate in different directions; disband; scatter"
maghiwalay,,"maghiwalay (naghihiwalay, naghiwalay, maghihiwalay) v., inf. 1. mutually separate; 2. estrange; 3. diverge"
magholen,,"(naghoholen, nagholen, maghoholen) v., inf. play ""hole-in"""
maghoyo,,"(naghohoyo, naghoyo, maghohoyo) v., inf. drive or put into a hole (golf)"
maghubad,,"(naghuhubad, naghubad, maghuhubad) v., inf. undress (from waist up)"
maghubo,,"maghubo (naghuhubo, naghubo, maghuhubo) v., inf. undress from waist down"
maghubu't-hubad,,"maghubu't-hubad (naghuhubu't-hubad, naghubu't-hubad, maghuhubu't-hubad) v., inf. undress completely"
maghudyat,,"maghudyat (naghuhudyat, naghudyat, maghuhudyat) v., inf. portend; indicate beforehand"
maghugas,,"(naghuhugas, naghugas, maghuhugas) v., inf. 1. wash; do washing; 2. bathe"
maghugis nang panibago,,"(naghuhugis, naghugis, maghuhugis (nang panibago)) v., inf. reshape; re-form"
maghugos,,"(naghuhugos, naghugos, maghuhugos) v., inf. let down a rope or cable"
maghugpong,,"maghugpong (naghuhugpong, naghugpong, maghuhugpong) v., inf. 1. attach; add to one end; 2. engraft"
maghuhukay,,maghuhukay n. digger; person who excavates or digs
maghuhuwego,,maghuhuwego n. gambler
maghukay,,"maghukay (naghuhukay, naghukay, maghuhukay) v., inf. dig a hole or pit; dig up; dig out; scoop"
maghukom,,"maghukom (naghuhukom, naghukom, maghuhukom) v., inf. pass judgement on someone; hear a case in court"
maghulma,,"maghulma (naghuhulma, naghulma, maghuhulma) v., inf. mould (US: mold)"
maghulog,,"(naghuhulog, naghulog, maghuhulog) v., inf. let fall; descend on; throw down (on someone)"
maghulog,,"(naghuhulog, naghulog, maghuhulog) v., inf. test (e.g. the depth) with a plumb line"
maghumigit-kumulang,,"maghumigit-kumulang (naghuhumigit-kumulang, naghumigit-kumulang, maghuhumigit-kumulang) v., inf. average; be more or less"
maghumiyaw,,"maghumiyaw (naghuhumiyaw, naghumiyaw, maghuhumiyaw) v., inf. rant; speak extravagangly or noisily"
maghumpay,,"maghumpay (naghuhumpay, naghumpay, maghuhumpay) v., inf. pause; stop; cease"
maghunos,,"(naghuhunos, naghunos, maghuhunos) v., inf. moult (US: molt); shed skin as a snake"
maghunos-dili,,"maghunos-dili (naghuhunos-dili, naghunos-dili, maghuhunos-dili) v., inf. reflect; be prudent in making a desicion"
maghunta,,"(naghuhunta, naghunta, maghuhunta) v., inf. talk or converse; hold a conversation"
maghuntahan,,"maghuntahan (naghuhuntahan, naghuntahan, maghuhuntahan) v., inf. talk together as in a group"
maghunus-dili,,"maghunus-dili (naghuhunus-dili, naghunus-dili, maghuhunus-dili) v., inf. change one's mind for the better"
maghunusdili,,"maghunusdili (naghuhunusdili, naghunusdili, maghuhunusdili) v., inf. reconsider prudently; meditate; reflect; consider carefully"
maghuramentado,,"(naghuhuramentado, naghuramentado, maghuhuramentado) v., inf. run amuck"
maghurno,,"maghurno (naghuhurno, naghurno, maghuhurno) v., inf. bake; cook something in an oven"
